Gene,WT_L8_rep1,WT_L8_rep2,WT_L12_rep1,WT_L12_rep2,KO_L8_rep1,KO_L8_rep2,KO_L12_rep1,KO_L12_rep2
Mrm1,143,140,128,135,176,94,202,69
Tex36,0,0,1,1,0,0,0,0
Mir7003,1,0,3,3,3,0,2,0
Tcerg1l,25,26,7,11,35,15,57,58
Flrt3,3234,3231,4087,3072,1024,836,1961,1397
Kiz,173,211,208,203,169,210,251,333
Sptssb,1,4,2,22,1,0,3,2
Gm10228,0,0,0,0,0,0,0,0
Adamts18,12,51,97,162,22,34,84,44
1700001K23Rik,0,0,0,0,0,1,0,1
Car9,2,9,5,4,8,7,14,9
Manba,759,710,892,974,652,178,867,178
Tmem223,154,189,178,175,166,117,269,76
Bcl7c,119,128,84,140,200,48,190,31
Trim3,407,598,633,735,330,244,526,286
Hist1h2bk,1,2,1,0,6,0,5,0
Olfr1093,0,0,0,0,0,0,0,0
Yeats4,630,775,632,733,900,653,915,580
9030624G23Rik,10,23,27,27,9,10,18,10
Uba5,617,705,840,887,781,596,783,579
Sec31a,3203,3688,3993,4256,2693,2588,3220,2824
Olfr352,0,0,0,0,0,0,0,0
Mrgpra4,0,0,0,0,0,0,0,0
Leprotl1,341,396,391,461,408,342,481,346
Zbtb5,218,242,344,251,345,270,578,350
Olfr1259,0,0,0,0,0,0,0,0
Gm4175,0,0,0,0,0,0,0,0
Cd200,8,8,11,5,5,1,13,2
Tpk1,70,112,118,166,111,39,109,53
Narfl,305,333,311,284,310,172,346,152
Ugt2a1,0,0,0,0,1,0,0,0
Sap18,198,227,190,195,292,213,310,164
Mir466g,0,0,0,0,0,0,0,0
Cers2,1796,1974,2121,2398,1408,1069,1583,1081
Ogfod2,125,134,161,175,93,22,115,36
Zfp27,131,153,210,229,187,181,268,257
Gm6815,0,0,0,0,0,0,0,0
Eef2k,292,441,277,328,208,230,541,419
Rbbp7,6395,8747,6438,8749,4254,3662,4758,3333
Scarna3b,1,0,0,0,0,0,1,0
Klf10,313,477,185,290,372,353,365,263
Lurap1l,74,103,120,187,38,21,69,22
Smarcb1,1067,1242,966,1116,1411,993,1603,955
Tob1,457,513,699,719,378,358,540,432
A430105I19Rik,18,23,12,18,3,11,18,14
Grm5,0,3,1,1,3,1,4,2
Kcna10,0,0,0,0,0,0,0,0
Gm10058,0,0,0,0,0,0,0,0
Amy1,7,10,5,7,5,6,9,7
Tchp,183,216,203,211,271,177,377,172
Cadps,49,57,15,9,62,91,138,49
Grwd1,598,677,452,432,1545,767,1101,391
Olfr555,0,0,0,0,0,0,0,0
Gm15091,0,0,0,1,0,0,0,0
Ntmt1,291,327,245,277,451,215,421,156
Hoxa4,5,1,8,7,11,10,32,8
4930473O22Rik,0,0,0,0,0,0,0,0
Reln,356,831,377,438,156,254,322,251
Psmd10,214,269,205,236,278,160,285,193
Troap,352,294,272,261,417,354,442,244
Skint1,0,0,0,0,0,0,0,0
Ssty1,0,0,0,0,0,0,0,0
Rgp1,1079,1391,1264,1371,934,821,1406,863
Olfr1098,0,0,0,0,0,0,0,0
Wdr76,326,346,221,208,498,397,581,416
Col17a1,4,3,4,11,4,1,10,6
Met,230,399,274,499,201,70,342,95
Sectm1a,4,3,6,4,0,0,1,0
Tmco1,732,815,990,923,686,670,666,570
Fendrr,31,119,111,184,30,67,111,35
Olfr452,0,0,0,0,0,0,0,0
Il10ra,5,23,4,22,1,0,2,1
Neo1,1138,1698,1594,2543,1498,1254,3207,2285
Ube2c,1093,1208,944,1035,1413,1805,1457,1661
1700101O22Rik,0,0,0,0,0,0,0,0
Iglon5,60,82,66,61,243,203,376,213
Snord58b,0,2,3,0,1,4,3,3
Etv6,537,658,522,524,898,974,1012,1042
Cyp11b2,0,0,0,0,0,0,0,0
Slc25a31,0,2,1,0,0,0,3,1
Rubie,13,35,5,4,28,83,14,1
Rnf222,1,0,1,0,0,0,1,0
Capn12,236,298,240,305,319,172,278,148
Rap2c,1642,2055,1509,1878,1193,1015,1513,996
Sh2d1a,0,0,0,0,0,0,0,0
Ndufb3,196,233,211,257,222,173,228,127
Vmn1r117,0,0,0,0,0,0,0,0
Mars,1567,1600,1427,1548,2581,1786,2167,1162
Rnf111,933,1104,954,1017,962,791,1155,856
Olfr623,0,0,0,0,0,0,0,0
Paqr4,122,176,183,156,196,186,268,132
Slc29a2,169,172,98,113,318,263,307,133
Ccl24,0,0,0,0,0,0,0,0
Cnbd2,42,71,76,71,36,23,59,29
Zyg11b,962,1206,891,1106,1303,1271,1792,1212
Rhox2h,0,0,1,1,0,0,0,0
Tasp1,88,74,104,85,120,94,100,110
Mir669m-1,0,0,0,0,0,0,0,0
Zbtb8b,42,49,23,74,67,24,71,47
AI314278,1,0,0,2,0,0,0,1
Syt13,77,93,48,87,135,104,222,138
C1ql2,13,19,7,10,2,3,2,0
Gm15140,0,0,0,0,0,0,0,0
Dcp1a,1005,1026,1049,943,1038,834,1187,795
F630028O10Rik,0,3,2,6,0,0,1,0
Zfc3h1,1246,1359,1210,1203,1242,1268,1574,1234
Mzb1,0,3,0,1,2,1,3,1
Pramel6,1,0,1,0,0,3,4,0
Olfr224,0,0,0,0,0,0,0,0
Vmn2r33,0,0,0,0,0,0,0,0
Slc25a12,192,160,249,221,240,123,507,258
Ppp1r8,744,793,548,584,1324,1167,1450,922
Mapre1,2583,3091,2727,2826,3595,3217,3463,2705
Rpl7l1,1248,1370,1091,1195,2029,1277,1791,853
Gm5416,0,0,0,0,0,0,0,0
Atf6,1300,1534,2217,2555,672,628,916,723
Ddx56,1225,1307,1056,1106,1925,1234,1640,823
Tmem164,993,1324,877,1066,1436,1102,1703,865
Herc4,788,924,716,720,1012,888,1130,743
Nadsyn1,111,112,111,123,115,46,117,51
